pokemon_name,normalized_name,source_path,output_path
mandibuzz,mandibuzz,data/raw_images/_extracted/images/Mandibuzz/1.jpg,data/images/mandibuzz.jpg
throh,throh,data/raw_images/_extracted/images/Throh/1.jpg,data/images/throh.jpg
ducklett,ducklett,data/raw_images/_extracted/images/Ducklett/1.jpg,data/images/ducklett.jpg
larvesta,larvesta,data/raw_images/_extracted/images/Larvesta/1.jpg,data/images/larvesta.jpg
lampent,lampent,data/raw_images/_extracted/images/Lampent/1.jpg,data/images/lampent.jpg
zapdos,zapdos,data/raw_images/_extracted/images/Zapdos/4.jpg,data/images/zapdos.jpg
kadabra,kadabra,data/raw_images/_extracted/images/Kadabra/2.jpg,data/images/kadabra.jpg
diancie,diancie,data/raw_images/_extracted/images/Diancie/4.jpg,data/images/diancie.jpg
inkay,inkay,data/raw_images/_extracted/images/Inkay/1.jpg,data/images/inkay.jpg
roggenrola,roggenrola,data/raw_images/_extracted/images/Roggenrola/1.jpg,data/images/roggenrola.jpg
regigigas,regigigas,data/raw_images/_extracted/images/Regigigas/2.jpg,data/images/regigigas.jpg
farfetchd,farfetchd,data/raw_images/_extracted/images/Farfetch'd/4.jpg,data/images/farfetchd.jpg
omanyte,omanyte,data/raw_images/_extracted/images/Omanyte/2.jpg,data/images/omanyte.jpg
glameow,glameow,data/raw_images/_extracted/images/Glameow/1.jpg,data/images/glameow.jpg
munna,munna,data/raw_images/_extracted/images/Munna/1.jpg,data/images/munna.jpg
shellder,shellder,data/raw_images/_extracted/images/Shellder/2.jpg,data/images/shellder.jpg
bellsprout,bellsprout,data/raw_images/_extracted/images/Bellsprout/2.jpg,data/images/bellsprout.jpg
pansage,pansage,data/raw_images/_extracted/images/Pansage/1.jpg,data/images/pansage.jpg
tympole,tympole,data/raw_images/_extracted/images/Tympole/1.jpg,data/images/tympole.jpg
chandelure,chandelure,data/raw_images/_extracted/images/Chandelure/1.jpg,data/images/chandelure.jpg
gallade,gallade,data/raw_images/_extracted/images/Gallade/2.jpg,data/images/gallade.jpg
phione,phione,data/raw_images/_extracted/images/Phione/1.jpg,data/images/phione.jpg
eevee,eevee,data/raw_images/_extracted/images/Eevee/4.jpg,data/images/eevee.jpg
jolteon,jolteon,data/raw_images/_extracted/images/Jolteon/2.jpg,data/images/jolteon.jpg
gurdurr,gurdurr,data/raw_images/_extracted/images/Gurdurr/1.jpg,data/images/gurdurr.jpg
noibat,noibat,data/raw_images/_extracted/images/Noibat/1.jpg,data/images/noibat.jpg
gliscor,gliscor,data/raw_images/_extracted/images/Gliscor/1.jpg,data/images/gliscor.jpg
stunfisk,stunfisk,data/raw_images/_extracted/images/Stunfisk/2.jpg,data/images/stunfisk.jpg
hypno,hypno,data/raw_images/_extracted/images/Hypno/2.jpg,data/images/hypno.jpg
kricketot,kricketot,data/raw_images/_extracted/images/Kricketot/1.jpg,data/images/kricketot.jpg
breloom,breloom,data/raw_images/_extracted/images/Breloom/1.jpg,data/images/breloom.jpg
carvanha,carvanha,data/raw_images/_extracted/images/Carvanha/1.jpg,data/images/carvanha.jpg
wynaut,wynaut,data/raw_images/_extracted/images/Wynaut/1.jpg,data/images/wynaut.jpg
vanillite,vanillite,data/raw_images/_extracted/images/Vanillite/1.jpg,data/images/vanillite.jpg
sawsbuck,sawsbuck,data/raw_images/_extracted/images/Sawsbuck/4.jpg,data/images/sawsbuck.jpg
accelgor,accelgor,data/raw_images/_extracted/images/Accelgor/1.jpg,data/images/accelgor.jpg
gigalith,gigalith,data/raw_images/_extracted/images/Gigalith/1.jpg,data/images/gigalith.jpg
kingdra,kingdra,data/raw_images/_extracted/images/Kingdra/2.jpg,data/images/kingdra.jpg
haxorus,haxorus,data/raw_images/_extracted/images/Haxorus/1.jpg,data/images/haxorus.jpg
deino,deino,data/raw_images/_extracted/images/Deino/1.jpg,data/images/deino.jpg
tyrantrum,tyrantrum,data/raw_images/_extracted/images/Tyrantrum/1.jpg,data/images/tyrantrum.jpg
seel,seel,data/raw_images/_extracted/images/Seel/2.jpg,data/images/seel.jpg
braviary,braviary,data/raw_images/_extracted/images/Braviary/1.jpg,data/images/braviary.jpg
gothitelle,gothitelle,data/raw_images/_extracted/images/Gothitelle/1.jpg,data/images/gothitelle.jpg
chikorita,chikorita,data/raw_images/_extracted/images/Chikorita/2.jpg,data/images/chikorita.jpg
honedge,honedge,data/raw_images/_extracted/images/Honedge/1.jpg,data/images/honedge.jpg
meditite,meditite,data/raw_images/_extracted/images/Meditite/1.jpg,data/images/meditite.jpg
archen,archen,data/raw_images/_extracted/images/Archen/1.jpg,data/images/archen.jpg
drapion,drapion,data/raw_images/_extracted/images/Drapion/1.jpg,data/images/drapion.jpg
meganium,meganium,data/raw_images/_extracted/images/Meganium/2.jpg,data/images/meganium.jpg
politoed,politoed,data/raw_images/_extracted/images/Politoed/2.jpg,data/images/politoed.jpg
quilava,quilava,data/raw_images/_extracted/images/Quilava/2.jpg,data/images/quilava.jpg
dusclops,dusclops,data/raw_images/_extracted/images/Dusclops/1.jpg,data/images/dusclops.jpg
reshiram,reshiram,data/raw_images/_extracted/images/Reshiram/2.jpg,data/images/reshiram.jpg
baltoy,baltoy,data/raw_images/_extracted/images/Baltoy/1.jpg,data/images/baltoy.jpg
absol,absol,data/raw_images/_extracted/images/Absol/2.jpg,data/images/absol.jpg
zubat,zubat,data/raw_images/_extracted/images/Zubat/2.jpg,data/images/zubat.jpg
terrakion,terrakion,data/raw_images/_extracted/images/Terrakion/1.jpg,data/images/terrakion.jpg
ralts,ralts,data/raw_images/_extracted/images/Ralts/1.jpg,data/images/ralts.jpg
pineco,pineco,data/raw_images/_extracted/images/Pineco/2.jpg,data/images/pineco.jpg
armaldo,armaldo,data/raw_images/_extracted/images/Armaldo/1.jpg,data/images/armaldo.jpg
cottonee,cottonee,data/raw_images/_extracted/images/Cottonee/1.jpg,data/images/cottonee.jpg
graveler,graveler,data/raw_images/_extracted/images/Graveler/4.jpg,data/images/graveler.jpg
pichu,pichu,data/raw_images/_extracted/images/Pichu/2.jpg,data/images/pichu.jpg
magneton,magneton,data/raw_images/_extracted/images/Magneton/2.jpg,data/images/magneton.jpg
toxicroak,toxicroak,data/raw_images/_extracted/images/Toxicroak/1.jpg,data/images/toxicroak.jpg
sigilyph,sigilyph,data/raw_images/_extracted/images/Sigilyph/1.jpg,data/images/sigilyph.jpg
palkia,palkia,data/raw_images/_extracted/images/Palkia/2.jpg,data/images/palkia.jpg
mienshao,mienshao,data/raw_images/_extracted/images/Mienshao/1.jpg,data/images/mienshao.jpg
cherrim,cherrim,data/raw_images/_extracted/images/Cherrim/2.jpg,data/images/cherrim.jpg
unown,unown,data/raw_images/_extracted/images/Unown/4.jpg,data/images/unown.jpg
flabb,flabb,data/raw_images/_extracted/images/Flab├⌐b├⌐/4.jpg,data/images/flabb.jpg
corphish,corphish,data/raw_images/_extracted/images/Corphish/1.jpg,data/images/corphish.jpg
crawdaunt,crawdaunt,data/raw_images/_extracted/images/Crawdaunt/1.jpg,data/images/crawdaunt.jpg
patrat,patrat,data/raw_images/_extracted/images/Patrat/1.jpg,data/images/patrat.jpg
garchomp,garchomp,data/raw_images/_extracted/images/Garchomp/2.jpg,data/images/garchomp.jpg
bayleef,bayleef,data/raw_images/_extracted/images/Bayleef/2.jpg,data/images/bayleef.jpg
grumpig,grumpig,data/raw_images/_extracted/images/Grumpig/1.jpg,data/images/grumpig.jpg
pansear,pansear,data/raw_images/_extracted/images/Pansear/1.jpg,data/images/pansear.jpg
duskull,duskull,data/raw_images/_extracted/images/Duskull/1.jpg,data/images/duskull.jpg
prinplup,prinplup,data/raw_images/_extracted/images/Prinplup/1.jpg,data/images/prinplup.jpg
spinarak,spinarak,data/raw_images/_extracted/images/Spinarak/2.jpg,data/images/spinarak.jpg
lugia,lugia,data/raw_images/_extracted/images/Lugia/2.jpg,data/images/lugia.jpg
abra,abra,data/raw_images/_extracted/images/Abra/2.jpg,data/images/abra.jpg
combusken,combusken,data/raw_images/_extracted/images/Combusken/1.jpg,data/images/combusken.jpg
unfezant,unfezant,data/raw_images/_extracted/images/Unfezant/2.jpg,data/images/unfezant.jpg
golurk,golurk,data/raw_images/_extracted/images/Golurk/1.jpg,data/images/golurk.jpg
kingler,kingler,data/raw_images/_extracted/images/Kingler/4.jpg,data/images/kingler.jpg
alakazam,alakazam,data/raw_images/_extracted/images/Alakazam/4.jpg,data/images/alakazam.jpg
binacle,binacle,data/raw_images/_extracted/images/Binacle/1.jpg,data/images/binacle.jpg
clefable,clefable,data/raw_images/_extracted/images/Clefable/2.jpg,data/images/clefable.jpg
swellow,swellow,data/raw_images/_extracted/images/Swellow/1.jpg,data/images/swellow.jpg
